segment event:,cevent_speech_naming_local-id,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7002,1,27.33,30.33,2,0,0,0,0.11,NaN,NaN,NaN,0.33,0,0,0,1
7002,2,28.505,31.505,2,0.11267,0.211,0,0.14433,0.338,0.633,NaN,0.433,1,1,0,1
7002,3,30.992,33.992,2,0.33067,0.569,0,0,0.496,0.8535,NaN,NaN,2,2,0,0
7002,4,33.486,36.486,2,0.211,0.21567,0.16667,0.28433,0.633,0.3235,0.5,0.853,1,2,1,1
7002,5,40.385,43.385,1,0.050667,0.43333,0,0,0.152,1.3,NaN,NaN,1,1,0,0
7002,6,46.067,49.067,2,0.211,0.74467,0,0,0.633,2.234,NaN,NaN,1,1,0,0
7002,7,50.595,53.595,1,0.12067,0.30167,0,0,0.362,0.905,NaN,NaN,1,1,0,0
7002,8,58.889,61.889,3,0,0,0.018667,0,NaN,NaN,0.056,NaN,0,0,1,0
7002,9,75.269,78.269,2,0,0.55467,0.012,0,NaN,0.832,0.036,NaN,0,2,1,0
7002,10,81.756,84.756,1,0.46667,0,0,0,0.7,NaN,NaN,NaN,2,0,0,0
7002,11,113.55,116.55,2,0,1,0,0,NaN,3,NaN,NaN,0,1,0,0
7002,12,148.16,151.16,3,0,0,0,0.053333,NaN,NaN,NaN,0.16,0,0,0,1
7002,13,154.73,157.73,1,0.56667,0,0.1,0,1.7,NaN,0.3,NaN,1,0,1,0
7002,14,163.76,166.76,1,0.37,0,0,0,1.11,NaN,NaN,NaN,1,0,0,0
7002,15,169.68,172.68,2,0.25,0,0,0.5,0.75,NaN,NaN,1.5,1,0,0,1
7002,16,175,178,2,0,0.51333,0,0.43333,NaN,0.77,NaN,1.3,0,2,0,1
7002,17,190.28,193.28,2,0,0.36,0,0.40333,NaN,0.54,NaN,1.21,0,2,0,1
7003,1,27,30,2,0,0,0,0,NaN,NaN,NaN,0,0,0,0,1
7003,2,35.042,38.042,2,0,1,0,0,NaN,3,NaN,NaN,0,1,0,0
7003,3,41.586,44.586,2,0,0.62667,0,0.13967,NaN,0.94,NaN,0.419,0,2,0,1
7003,4,48.028,51.028,3,0.23333,0.511,0,0,0.7,1.533,NaN,NaN,1,1,0,0
7003,5,60.398,63.398,1,0,0,0.97833,0,NaN,NaN,2.935,NaN,0,0,1,0
7003,6,69.54,72.54,3,0.389,0.1,0.37767,0,0.5835,0.3,0.37767,NaN,2,1,3,0
7003,7,71.975,74.975,3,0,0,0.40833,0.436,NaN,NaN,1.225,1.308,0,0,1,1
7003,8,125.45,128.45,2,0,0.47333,0,0,NaN,0.71,NaN,NaN,0,2,0,0
7003,9,126.85,129.85,2,0,0.91667,0,0,NaN,2.75,NaN,NaN,0,1,0,0
7003,10,134.3,137.3,2,0,0.31,0,0,NaN,0.465,NaN,NaN,0,2,0,0
7003,11,142.88,145.88,1,0.31333,0,0.15,0,0.235,NaN,0.45,NaN,4,0,1,0
7003,12,145.19,148.19,1,0.75667,0,0,0,0.75667,NaN,NaN,NaN,3,0,0,0
7003,13,147.76,150.76,1,1,0,0,0,3,NaN,NaN,NaN,1,0,0,0
