segment event:,cevent_inhand_child,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7002,1,30,31.633,2,0.28536,0.38763,0,0.26516,0.466,0.633,NaN,0.433,1,1,0,1
7002,2,38.2,40.3,2,0,0.90476,0,0,NaN,0.95,NaN,NaN,0,2,0,0
7002,3,45.967,46.8,1,0.87995,0,0,0,0.733,NaN,NaN,NaN,1,0,0,0
7002,4,48.633,51.5,2,0,1,0,0,NaN,2.867,NaN,NaN,0,1,0,0
7002,5,54.7,58.933,1,0.62202,0.023624,0.11812,0,1.3165,0.1,0.5,NaN,2,1,1,0
7002,6,64.4,65,3,0,0,1,0,NaN,NaN,0.6,NaN,0,0,1,0
7002,7,65.533,67.233,3,0,0,0.70588,0,NaN,NaN,1.2,NaN,0,0,1,0
7002,8,73.9,76.067,2,0,1,0,0,NaN,2.167,NaN,NaN,0,1,0,0
7002,9,80.3,82.333,2,0.26217,0.24594,0.14757,0,0.533,0.25,0.3,NaN,1,2,1,0
7002,10,85,87.133,1,0.81247,0,0,0,1.733,NaN,NaN,NaN,1,0,0,0
7002,11,93.033,95.667,2,0,0.60744,0,0.35459,NaN,1.6,NaN,0.934,0,1,0,1
7002,12,99.833,101,1,1,0,0,0,1.167,NaN,NaN,NaN,1,0,0,0
7002,13,101.5,102.43,1,0.82796,0,0,0,0.77,NaN,NaN,NaN,1,0,0,0
7002,14,108.43,111.97,3,0.16949,0.19774,0.49153,0,0.6,0.7,1.74,NaN,1,1,1,0
7002,15,114.17,118.17,2,0,0.96,0,0,NaN,1.92,NaN,NaN,0,2,0,0
7002,16,115.47,118.2,2,0,0.94139,0,0,NaN,1.285,NaN,NaN,0,2,0,0
7002,17,151,152.6,3,0,0,0,1,NaN,NaN,NaN,1.6,0,0,0,1
7002,18,151,153.8,3,0,0,0,0.71429,NaN,NaN,NaN,2,0,0,0,1
7002,19,157.13,160.3,1,1,0,0,0,3.17,NaN,NaN,NaN,1,0,0,0
7002,20,163.47,163.77,1,1,0,0,0,0.3,NaN,NaN,NaN,1,0,0,0
7002,21,164.43,164.6,1,1,0,0,0,0.17,NaN,NaN,NaN,1,0,0,0
7002,22,167.83,170.47,1,0.2803,0,0.35227,0.29167,0.74,NaN,0.93,0.77,1,0,1,1
7002,23,175.5,175.63,2,0,0,0,1,NaN,NaN,NaN,0.13,0,0,0,1
7002,24,178.47,183.03,2,0,0.80263,0,0,NaN,3.66,NaN,NaN,0,1,0,0
7002,25,180.73,182.7,2,0,0.71066,0,0,NaN,1.4,NaN,NaN,0,1,0,0
7002,26,186.7,190.17,2,0,0,0,0.97118,NaN,NaN,NaN,3.37,0,0,0,1
7002,27,196.2,197.43,2,0,1,0,0,NaN,1.23,NaN,NaN,0,1,0,0
7002,28,198.6,202.1,2,0,0.065714,0,0,NaN,0.23,NaN,NaN,0,1,0,0
7002,29,228.37,229.1,2,0,1,0,0,NaN,0.73,NaN,NaN,0,1,0,0
7002,30,229.87,230.07,2,0,1,0,0,NaN,0.2,NaN,NaN,0,1,0,0
