segment event:,cevent_speech_naming_local-id,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
,,,,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor
7002,1,30.33,30.962,2,0.73101,0,0.462,NaN,1,0,0,0,NaN,NaN,0,0
7002,2,31.505,32.453,2,0.30169,0.48734,0.286,0.462,1,1,0.87869,0,0.833,NaN,1,0
7002,3,33.992,34.775,2,0,0.91443,NaN,0.358,0,2,0,0,NaN,NaN,0,0
7002,4,36.486,37.07,2,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
7002,5,43.385,45.639,1,1,0,2.254,NaN,1,0,0.60071,0,0.677,NaN,2,0
7002,6,49.067,50.201,2,1,0,1.134,NaN,1,0,0.44092,0,0.5,NaN,1,0
7002,7,53.595,54.612,1,1,0,1.017,NaN,1,0,0.66765,0,0.679,NaN,1,0
7002,8,61.889,63.112,3,0.79967,0,0.978,NaN,1,0,0.57236,0,0.7,NaN,1,0
7002,9,78.269,78.991,2,0.63435,0.31994,0.458,0.231,1,1,0.46122,0.27424,0.333,0.198,1,1
7002,10,84.756,85.312,1,1,0,0.556,NaN,1,0,1,0,0.556,NaN,1,0
7002,11,116.55,117.08,2,1,0,0.53,NaN,1,0,0.50943,0,0.135,NaN,2,0
7002,12,151.16,151.79,3,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
7002,13,157.73,158.23,1,1,0,0.5,NaN,1,0,0,0,NaN,NaN,0,0
7002,14,166.76,167.13,1,0,0,NaN,NaN,0,0,0.027027,0,0.01,NaN,1,0
7002,15,172.68,173.36,2,0,0.91176,NaN,0.62,0,1,0.67647,0,0.46,NaN,1,0
7002,16,178,178.91,2,1,0,0.91,NaN,1,0,0,0,NaN,NaN,0,0
7002,17,193.28,194.29,2,0.28713,0,0.29,NaN,1,0,0,0,NaN,NaN,0,0
7003,1,30,30.909,2,0,0,NaN,NaN,0,0,0.58636,0,0.533,NaN,1,0
7003,2,38.042,38.634,2,1,0,0.592,NaN,1,0,0.21115,0,0.125,NaN,1,0
7003,3,44.586,45.446,2,0,0,NaN,NaN,0,0,0.54302,0,0.467,NaN,1,0
7003,4,51.028,51.687,3,0,0.63733,NaN,0.42,0,1,0.53718,0,0.354,NaN,1,0
7003,5,63.398,64.538,1,0.12105,0,0.138,NaN,1,0,0.23596,0,0.1345,NaN,2,0
7003,6,72.54,72.951,3,1,0,0.411,NaN,1,0,0,0,NaN,NaN,0,0
7003,7,74.975,75.48,3,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
7003,8,128.45,129.08,2,1,0,0.63,NaN,1,0,0.60317,0,0.38,NaN,1,0
7003,9,129.85,130.39,2,1,0,0.54,NaN,1,0,0,0,NaN,NaN,0,0
7003,10,137.3,137.57,2,0.14815,0,0.04,NaN,1,0,0.14815,0,0.04,NaN,1,0
7003,11,145.88,146.36,1,0.33333,0,0.16,NaN,1,0,0.6875,0,0.33,NaN,1,0
7003,12,148.19,148.74,1,1,0,0.55,NaN,1,0,0.41818,0,0.23,NaN,1,0
7003,13,150.76,151.54,1,0.82051,0,0.64,NaN,1,0,0.42308,0,0.33,NaN,1,0
7003,14,153.21,153.93,1,0,0,NaN,NaN,0,0,0.875,0,0.63,NaN,1,0
7003,15,154.53,160.1,3,0.15619,0.70197,0.87,1.3033,1,3,0.18671,0.15081,0.34667,0.28,3,3
7003,16,166.7,167.53,3,0,0.6747,NaN,0.56,0,1,0.68675,0,0.57,NaN,1,0
7003,17,177.14,177.88,1,0.33784,0.39189,0.25,0.29,1,1,0.35135,0,0.26,NaN,1,0
7003,18,178.73,179.39,1,0.75758,0,0.5,NaN,1,0,0.030303,0,0.02,NaN,1,0
7003,19,200.8,201.69,1,1,0,0.89,NaN,1,0,0.47191,0,0.42,NaN,1,0
7003,20,202.23,202.56,1,1,0,0.33,NaN,1,0,0.090909,0,0.03,NaN,1,0
7003,21,214.67,215.87,3,1,0,1.2,NaN,1,0,0.55,0,0.33,NaN,2,0
7003,22,217.42,218.64,3,0,0.85246,NaN,1.04,0,1,0.52459,0,0.32,NaN,2,0
7003,23,221.68,222.18,3,1,0,0.5,NaN,1,0,0,1,NaN,0.5,0,1
7003,24,231.55,232.69,2,0.67544,0,0.385,NaN,2,0,0.35088,0,0.4,NaN,1,0
7003,25,233.37,234.44,2,1,0,1.07,NaN,1,0,0.28037,0,0.3,NaN,1,0
7003,26,247.03,247.39,2,0.19444,0,0.07,NaN,1,0,0,0,NaN,NaN,0,0
7003,27,253.6,253.93,1,1,0,0.33,NaN,1,0,0.69697,0,0.23,NaN,1,0
7003,28,284.01,285.42,2,0.56028,0.13475,0.395,0.19,2,1,0,0,NaN,NaN,0,0
7003,29,284.01,285.42,2,0.56028,0.13475,0.395,0.19,2,1,0,0,NaN,NaN,0,0
7003,30,299.16,299.74,2,1,0,0.58,NaN,1,0,1,0,0.58,NaN,1,0
7003,31,300.43,300.96,2,0,0.86792,0,0.46,1,1,0.075472,0,0.04,NaN,1,0
7003,32,312.28,313.1,3,0.02439,0.93902,0.02,0.77,1,1,0.29268,0,0.24,NaN,1,0
7003,33,313.53,314.28,3,0.28,0,0.21,NaN,1,0,0.36,0,0.27,NaN,1,0
7003,34,315.22,316.22,3,0,0.45,NaN,0.45,0,1,0.38,0,0.38,NaN,1,0
7003,35,317.89,318.68,3,0.75949,0.10127,0.6,0.08,1,1,0.012658,0,0.01,NaN,1,0
7003,36,320.83,321.63,1,0,0,NaN,NaN,0,0,0.125,0,0.1,NaN,1,0
7003,37,322.64,323.17,1,1,0,0.53,NaN,1,0,0,0,NaN,NaN,0,0
7003,38,333.95,334.94,3,0.22222,0.71717,0.22,0.71,1,1,0.35354,0,0.35,NaN,1,0
7005,1,40.882,43.051,1,0.24574,0.28492,0.533,0.618,1,1,0.59935,0.076994,0.65,0.167,2,1
7005,2,43.628,49.963,1,1,0,6.335,NaN,1,0,0.40521,0.206,0.85567,0.6525,3,2
7005,3,43.628,49.963,1,1,0,6.335,NaN,1,0,0.40521,0.206,0.85567,0.6525,3,2
7005,4,53.373,56.392,1,0,0.54919,NaN,0.55267,0,3,0.40643,0,1.227,NaN,1,0
7005,5,53.373,56.392,1,0,0.54919,NaN,0.55267,0,3,0.40643,0,1.227,NaN,1,0
7005,6,57.479,58.689,1,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
7005,7,59.421,60.408,3,1,0,0.987,NaN,1,0,0,0,NaN,NaN,0,0
7005,8,61.954,63.582,3,1,0,1.628,NaN,1,0,0.80651,0,1.313,NaN,1,0
7005,9,61.954,63.582,1,0,1,NaN,1.628,0,1,0,0.80651,NaN,1.313,0,1
7005,10,65.692,69.129,2,0.27029,0.64242,0.929,2.208,1,1,0,0.087285,NaN,0.15,0,2
7005,11,69.625,88.191,2,0.52478,0.20053,1.0826,0.7446,9,5,0.22213,0.23155,0.8248,0.8598,5,5
7005,12,69.625,88.191,2,0.52478,0.20053,1.0826,0.7446,9,5,0.22213,0.23155,0.8248,0.8598,5,5
7005,13,88.71,90.106,3,0,0,NaN,NaN,0,0,0.071633,0.14327,0.1,0.066667,1,3
7005,14,91.111,93.284,1,0.1919,0.41417,0.417,0.9,1,1,0.21445,0.63737,0.233,0.6925,2,2
7005,15,91.111,93.284,1,0.1919,0.41417,0.417,0.9,1,1,0.21445,0.63737,0.233,0.6925,2,2
7005,16,94.507,95.421,1,0,0.94092,NaN,0.86,0,1,0,0.86214,NaN,0.394,0,2
7005,17,116.84,117.97,2,0,0,NaN,NaN,0,0,0.079646,0.88496,0.09,1,1,1
7005,18,125.02,125.92,2,0.45556,0,0.41,NaN,1,0,1,0,0.9,NaN,1,0
7005,19,126.76,131.54,2,0.33473,0.2113,1.6,1.01,1,1,0.5251,0.10669,0.83667,0.085,3,6
7005,20,126.76,131.54,1,0.2113,0.33473,1.01,1.6,1,1,0.037657,0.59414,0.06,0.47333,3,6
7005,21,132.2,133.1,1,1,0,0.9,NaN,1,0,0,0,NaN,NaN,0,0
7005,22,134.62,154.47,1,0.26297,0.45793,1.74,1.818,3,5,0.32393,0.21612,1.0717,1.0725,6,4
7005,23,134.62,154.47,2,0.15214,0.56877,1.51,1.8817,2,6,0,0.54005,NaN,1.072,0,10
7005,24,134.62,154.47,2,0.15214,0.56877,1.51,1.8817,2,6,0,0.54005,NaN,1.072,0,10
