#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1203\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
64.267,64.833,5,1
64.833,65.6,24,2
65.667,66.8,23,3
67.067,67.367,24,4
67.433,71.167,23,5
71.567,71.9,25,6
72.1,72.433,8,7
72.7,73.2,25,8
73.333,73.6,8,9
73.9,74.2,25,10
74.333,74.667,23,11
74.8,79.067,25,12
79.2,80.6,4,13
80.667,83.167,11,14
83.267,83.533,14,15
83.567,83.9,9,16
84.1,85.167,11,17
85.433,86.367,25,18
87.567,88.7,25,19
89.9,90.967,25,20
91.3,91.8,11,21
91.933,92.867,25,22
93.5,99.4,11,23
100.17,101.43,25,24
102.13,104.1,19,25
104.2,107.1,21,26
108.57,108.8,25,27
108.9,109.13,7,28
109.43,110.67,21,29
110.77,111.93,25,30
114.8,115.4,25,32
115.5,117.87,21,33
118.17,118.5,20,34
118.53,119.03,1,35
119.13,119.37,20,36
119.87,122.93,15,37
122.93,124.93,12,38
125.3,125.57,21,39
126.37,126.87,25,40
127.2,127.43,21,41
128.07,128.47,25,43
128.63,130.53,12,44
130.6,131,11,45
131.07,131.37,19,46
131.43,131.73,14,47
134.13,135.63,16,48
135.87,139,25,49
139.63,140.13,21,50
140.4,144.83,25,51
144.9,145.13,6,52
145.3,146,25,53
146.63,151.67,25,54
152.67,153.3,25,55
153.57,156.83,21,56
156.97,157.27,25,57
157.6,158.53,21,58
159,159.33,10,59
159.4,160.37,21,60
160.97,161.43,21,61
162,162.6,10,62
162.73,168.27,22,63
168.57,168.83,8,64
168.93,169.43,22,65
169.5,170.1,8,66
171.8,175.93,24,68
176.13,177,25,69
177.17,181,24,70
181.33,187.27,8,71
187.27,188.03,22,72
188.07,189,24,73
189.07,191,8,74
191.07,191.97,7,75
192.33,193,8,76
193.23,194.4,24,77
197.3,197.63,21,80
197.77,198.5,25,81
199.17,200.67,25,82
201.4,202.93,25,83
203.07,208.6,21,84
208.87,211.07,25,85
212.87,213.3,22,86
213.93,214.4,8,87
214.97,215.27,4,88
215.7,216.1,11,89
216.17,216.53,19,90
216.6,217,4,91
217.1,217.9,14,92
218.8,219.37,11,93
220.77,222.07,25,95
222.23,224.17,11,96
224.57,227.07,25,97
228.13,232.87,25,98
233.5,234.2,7,99
234.5,234.77,19,100
234.83,236.4,11,101
236.67,237.23,25,102
237.97,239.37,15,103
239.43,239.77,14,104
240.4,241.4,11,105
241.57,241.9,25,106
242,242.83,11,107
243,243.97,25,108
244.93,245.67,11,109
249.2,250.03,25,111
250.77,252.17,25,112
253.77,254.77,25,113
256.4,258.13,25,114
259.37,259.67,8,115
259.83,260.17,25,116
260.4,264.17,11,117
264.3,264.77,25,118
264.93,266.2,11,119
267.27,269.23,11,120
269.47,269.87,25,121
270.23,270.57,11,122
271,271.53,19,123
272.3,273.27,2,124
273.97,276.67,25,125
276.97,277.27,22,126
277.3,278.27,23,127
278.7,280.37,11,128
280.97,286.17,8,129
286.23,290.47,22,130
290.53,291.1,16,131
291.13,291.77,24,132
293.07,293.37,11,134
293.47,295.47,24,135
295.47,295.57,11,136
296.1,297.1,25,137
297.7,298.03,25,138
298.87,300.27,11,139
301.13,302.4,11,141
302.87,303.73,24,142
303.8,304.97,11,143
305.57,309.7,8,144
310,310.57,6,145
310.87,311.37,12,146
311.4,311.77,15,147
311.83,312.1,22,148
312.17,313,10,149
313.23,315.1,22,150
315.83,316.1,25,151
316.3,316.53,10,152
316.6,317.8,11,153
317.93,318.37,25,154
318.67,320.23,11,155
320.33,320.73,12,156
320.8,321.47,11,157
321.53,321.8,21,158
322.2,322.5,1,159
323.13,323.53,20,160
324.1,325.3,1,161
326.47,331.07,11,162
331.23,331.63,25,163
331.77,333.47,11,164
334.77,337.53,21,165
337.73,339.4,25,166
340.13,342.33,21,167
342.37,342.6,8,168
342.9,344.03,15,169
344.23,344.9,25,170
