#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1208\cevent_eye_roi_child.csv,,,yulab_data\1208\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
54.167,59.1,21,7,59.333,61.8,21,18
60.1,66.367,21,8,66.567,66.8,21,24
67.767,70.367,21,9,71.3,71.967,21,28
93.4,96.333,1,22,96.933,97.567,1,46
182.77,183.47,20,61,183.83,184.5,20,98
222.73,227.83,20,90,227.87,228.17,20,117
230.77,238.27,20,92,238.9,246.03,20,124
238.8,253.5,20,94,253.5,253.83,20,126
294.03,295.7,11,114,296.27,297.7,11,166
300.53,300.9,18,117,301.4,302.23,18,169
354.1,355.73,19,142,356.33,357.17,19,201
402.03,402.4,18,159,402.5,402.8,18,236
402.03,402.4,18,159,403.33,404.3,18,237
402.47,403.57,8,160,404.4,404.9,8,238
412.23,412.5,19,167,413.1,413.43,19,244
434.8,439.3,11,183,439.6,440.2,11,262
466.2,467.5,17,192,467.63,469.1,17,283
483.53,487.63,16,204,488.6,490.47,16,296
