#more(on2;_off1)_&_more(on1;_on2),yulab_data\7002\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
31.167,31.967,1,3
33.8,34.433,1,5
34.5,35,3,6
35.133,35.533,2,7
35.633,37.067,4,8
39.6,40.267,2,10
41.433,42.733,2,11
56.167,56.667,3,15
56.7,56.8,2,16
63.167,63.667,1,19
68.633,69.667,1,21
70,70.367,1,22
70.633,71.267,3,23
77.067,77.8,2,25
78.233,78.5,3,26
79.633,79.733,3,28
80.833,81.133,3,30
81.2,81.467,2,31
81.567,82.1,1,32
88.833,89.233,3,35
103.7,105.97,1,39
107.37,107.77,4,40
110.6,111.2,1,42
118.13,118.33,2,44
118.83,120.07,2,45
121.67,121.87,1,46
155.7,156,3,48
160.63,161.57,1,50
168.6,169.53,3,53
169.7,171.2,4,54
171.93,173.3,1,55
173.7,175.37,2,56
185.73,186.23,2,59
186.27,190.07,4,60
190.23,190.33,2,61
232.67,234.77,1,66
235.07,235.4,2,67
236.63,238.3,2,68
241.13,242.13,4,70
242.9,243.37,2,72
255.47,257.3,3,75
257.4,257.6,3,76
257.8,258.2,3,77
258.23,258.77,2,78
261.23,261.6,3,80
263.6,264.17,3,82
264.2,264.63,4,83
265.57,267.57,2,84
268.03,268.5,3,85
272.53,274.2,1,87
