#more(on2;_off1)_&_more(on1;_on2),yulab_data\7006\cevent_eye_roi_child.csv,,,yulab_data\7006\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
31.867,33,4,4,32.4,33.2,4,4
33.133,34.033,1,5,33.233,33.4,1,5
35.6,37.167,1,6,35.633,35.833,1,7
35.6,37.167,1,6,36.033,37.267,1,9
37.8,38.8,4,8,38.067,38.3,4,13
37.8,38.8,4,8,38.733,40.3,4,14
38.9,42.467,3,9,40.433,41.733,3,15
43.067,44.833,3,11,43.3,44.933,3,18
49.033,51.267,2,19,49.033,49.333,2,24
49.033,51.267,2,19,50.067,50.233,2,26
49.033,51.267,2,19,51.033,51.867,2,28
54.133,56.833,4,21,54.533,54.833,4,33
54.133,56.833,4,21,56.167,56.6,4,35
54.133,56.833,4,21,56.733,58.8,4,37
60.233,61.6,3,30,60.767,60.867,3,41
61.767,64.3,4,31,61.8,66.567,4,45
66.933,67.3,4,34,67.267,67.6,4,46
67.433,69.967,3,35,67.633,67.833,3,47
67.433,69.967,3,35,68.933,69.267,3,49
67.433,69.967,3,35,69.7,70.2,3,51
71.2,72.7,3,36,71.633,71.8,3,55
75.033,80.833,1,42,78.167,78.667,1,59
75.033,80.833,1,42,79.2,80.2,1,61
75.033,80.833,1,42,80.833,81.2,1,63
81.8,82.667,1,46,82,84.533,1,65
83.1,86.2,1,47,85.6,86.067,1,67
83.1,86.2,1,47,86.133,86.833,1,68
86.333,90.9,4,48,87,90.067,4,69
91.833,93.167,1,50,92.067,92.967,1,70
93.533,94.933,4,51,94.2,94.933,4,73
106.03,106.57,1,54,106.07,106.53,1,76
107.53,109.47,1,55,107.57,108.97,1,78
109.6,114.67,4,56,111,111.07,4,80
109.6,114.67,4,56,111.73,111.9,4,82
109.6,114.67,4,56,112.47,112.93,4,84
109.6,114.67,4,56,113.33,118.3,4,86
144.23,144.47,2,63,144.27,144.3,2,111
144.5,146.2,4,64,144.53,144.97,4,112
144.5,146.2,4,64,145.7,145.97,4,113
150.6,153.07,4,65,151.8,153.47,4,122
167.1,170.57,2,66,167.6,167.93,2,139
167.1,170.57,2,66,169.97,170.17,2,141
