#more(on2;_off1)_&_more(on1;_on2),yulab_data\7006\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30,31,1,1
31.067,31.767,4,2
31.867,32.333,1,3
33.467,35.533,4,6
35.9,35.967,3,8
37.333,37.533,4,10
37.6,37.667,3,11
37.7,38,1,12
41.8,42.033,1,16
42.133,43.2,4,17
45,45.433,4,19
45.533,46.967,3,20
47.133,47.533,4,21
47.9,48.1,2,22
48.233,48.933,4,23
49.6,50,3,25
50.3,50.967,4,27
51.933,52.233,4,29
52.333,53.067,2,30
53.133,53.833,4,31
53.967,54.433,2,32
54.867,56.133,2,34
56.633,56.7,2,36
58.867,59.133,2,38
59.167,60.233,4,39
60.3,60.7,1,40
60.933,61.267,1,42
61.333,61.567,2,43
61.633,61.733,1,44
67.867,68.9,4,48
69.333,69.633,4,50
70.233,70.3,4,52
70.333,70.5,3,53
70.533,71.567,4,54
71.867,74.967,4,56
75.333,75.9,4,57
76.4,78.1,4,58
78.767,79.133,4,60
80.3,80.733,4,62
81.3,81.9,4,64
84.633,85.5,4,66
93.133,93.5,4,71
93.567,94.1,1,72
104.5,104.83,4,74
105.43,105.83,1,75
106.57,107.47,4,77
110.4,110.6,2,79
111.17,111.57,3,81
111.97,112.4,1,83
113.03,113.23,1,85
118.37,119.8,2,87
119.83,119.97,1,88
120.1,121.43,4,89
121.5,121.6,2,90
121.63,123.1,4,91
123.63,124.03,4,92
124.17,124.23,4,93
124.4,124.6,4,94
127.3,128.3,4,95
128.33,128.47,2,96
128.83,132,4,97
132.17,132.27,4,98
133.67,134.27,4,99
134.33,134.47,4,100
135.07,136.53,4,101
136.73,137.27,4,102
138.07,138.1,4,103
138.37,139,4,104
139.07,139.2,1,105
139.23,139.87,4,106
139.93,140.77,4,107
140.8,140.83,2,108
140.87,143.8,4,109
143.83,144,2,110
147.4,147.63,4,114
147.73,148.23,3,115
148.33,148.63,4,116
148.73,149.4,3,117
149.53,150.7,4,118
150.87,150.93,3,119
151.1,151.13,3,120
151.23,151.73,3,121
153.53,153.67,3,123
154.07,154.87,4,124
155.17,155.8,4,125
156.7,156.87,4,126
157,157.3,3,127
157.43,158.5,4,128
158.57,159.07,3,129
159.13,159.5,4,130
159.6,159.7,3,131
159.73,161.73,4,132
163.5,163.73,4,133
163.93,164.57,4,134
164.97,165.37,4,135
165.47,165.83,2,136
165.93,166.83,4,137
167.13,167.5,4,138
168.7,169.67,4,140
170.23,173.1,4,142
